TubeLength,TubeOD,Displacement1,Stress1
250.0,10.0,1.05703,124.42
275.0,10.0,1.45581,138.81
300.0,10.0,1.94392,153.12
325.0,10.0,2.53048,164.56
350.0,10.0,3.22465,178.73
375.0,10.0,4.03573,197.26
400.0,10.0,4.9721400000000004,211.92
425.0,10.0,6.04327,226.56
450.0,10.0,7.2578,235.47
475.0,10.0,8.62534,249.56
500.0,10.0,10.15531,270.27
250.0,15.0,0.2939,59.486000000000004
275.0,15.0,0.40283,65.987
300.0,15.0,0.53588,72.783
325.0,15.0,0.6955399999999999,79.485
350.0,15.0,0.8841700000000001,86.146
375.0,15.0,1.10412,92.75299999999999
400.0,15.0,1.35808,101.81
425.0,15.0,1.6482299999999999,108.3
450.0,15.0,1.9768299999999999,112.96
475.0,15.0,2.3468299999999997,119.33
500.0,15.0,2.7600599999999997,126.03
250.0,20.0,0.12479000000000001,43.489
275.0,20.0,0.16963,45.568999999999996
300.0,20.0,0.22424000000000002,49.855
325.0,20.0,0.28965,53.81
350.0,20.0,0.36671,58.04
375.0,20.0,0.45643,70.947
400.0,20.0,0.55985,75.88600000000001
425.0,20.0,0.67789,72.421
450.0,20.0,0.8115100000000001,76.762
475.0,20.0,0.9619700000000001,81.298
500.0,20.0,1.12961,85.866
250.0,25.0,0.06905,52.519
275.0,25.0,0.09168,52.77
300.0,25.0,0.11955,53.841
325.0,25.0,0.15292,53.864
350.0,25.0,0.19203,53.536
375.0,25.0,0.23764000000000002,52.361000000000004
400.0,25.0,0.2899,53.223
425.0,25.0,0.34969,53.95399999999999
450.0,25.0,0.4173,56.909
475.0,25.0,0.49311000000000005,60.965
500.0,25.0,0.57777,63.876999999999995
250.0,30.0,0.052660000000000005,61.363
275.0,30.0,0.06563,58.667
300.0,30.0,0.08052000000000001,58.968999999999994
325.0,30.0,0.09887,58.625
350.0,30.0,0.12090999999999999,60.426
375.0,30.0,0.14570999999999998,58.986000000000004
400.0,30.0,0.17706,60.043
425.0,30.0,0.21161999999999997,61.949
450.0,30.0,0.24991,58.63
475.0,30.0,0.29467,58.415
500.0,30.0,0.34255,59.028999999999996
